Country,Region-Geo,Continent,Region,Year,IncomePerPerson,LifeExpectancy,PopulationTotal
Afghanistan,Asia - Southern,Asia,South Asia,1952,2338.335943,27.448,8407148
Albania,Europe - Southern,Europe,Europe & Central Asia,1952,4803.168409,54.876,1269302
Algeria,Africa - Northern,Africa,Middle East & North Africa,1952,7347.024556,42.678,9140990
American Samoa,Oceania,Oceania,East Asia & Pacific,1952,13799.49386,,19525
Andorra,Europe - Southern,Europe,Europe & Central Asia,1952,49618.60246,,7247
Angola,Africa - Central,Africa,Sub-Saharan Africa,1952,10561.83082,29.804,4296534
Anguilla,America - Central,Central and South America,America,1952,11038.55257,,5438
Antigua and Barbuda,America - Central,Central and South America,America,1952,7661.639427,58.284,49906
Argentina,America - South,Central and South America,America,1952,17733.94516,62.32,17865382
Armenia,Asia - Western,Asia,Europe & Central Asia,1952,4217.465954,62.602,1419913
Aruba,America - Central,Central and South America,America,1952,8195.001555,60.01,38966
Australia,Oceania,Oceania,East Asia & Pacific,1952,30118.78691,69.12,8604679
Austria,Europe - Western,Europe,Europe & Central Asia,1952,18411.22948,66.8,6929474
Azerbaijan,Asia - Western,Asia,Europe & Central Asia,1952,4322.023901,57.754,3044695
Bahamas,America - Central,Central and South America,America,1952,14695.80152,59.824,81426
Bahrain,Asia - Western,Asia,Middle East & North Africa,1952,19734.16953,42.459,119567
Bangladesh,Asia - Southern,Asia,South Asia,1952,1368.488343,43.376,40207573
Barbados,America - Central,Central and South America,America,1952,7164.528737,56.95,219587
Belarus,Europe - Eastern,Europe,Europe & Central Asia,1952,4831.544286,65.692,7710974
Belgium,Europe - Western,Europe,Europe & Central Asia,1952,16686.21025,68,8710135
Belize,America - Central,Central and South America,America,1952,3515.530436,55.644,73295
Benin,Africa - Western,Africa,Sub-Saharan Africa,1952,2125.5044,33.467,2264492
Bermuda,America - North,North America,America,1952,33933.59479,,38424
Bhutan,Asia - Southern,Asia,South Asia,1952,1394.793827,29.331,180287
Bolivia,America - South,Central and South America,America,1952,5354.652694,40.274,2824538
Bosnia and Herzegovina,Europe - Southern,Europe,Europe & Central Asia,1952,1947.06639,53.165,2779107
Botswana,America - South,Africa,Sub-Saharan Africa,1952,1702.482281,47.451,437177
Brazil,America - South,Central and South America,America,1952,4217.88871,50.763,57422674
British Virgin Islands,America - Central,Central and South America,America,1952,4487.886038,,7548
Brunei,Asia - South Eastern,Asia,East Asia & Pacific,1952,73360.07212,57.54,54083
